subset,product,count,min,max,mean,stdev,median,sum,q02.5,q10,q25,q75,q90,q97.5
az,avg_chopping,4722898,0,745.611083984375,8.6160736083984375,22.46741485595703,0.030251080720710696,40692836,0.001512554036035535,0.00605021614414214,0.015125540360355348,0.04537662108106605,34.8402542991622,82.9797278504167
az,avg_esa,36601844,0,349.3999938964844,4.3234405517578125,16.91766357421875,0.12959344468857967,158245904,0.006479672234428983,0.02591868893771593,0.06479672234428983,0.19439016703286952,8.418106025051452,50.26329505019148
az,avg_gedi,293430.375,0,489.00128173828125,14.317001342773438,26.48630714416504,3.2519200077745407,4201043,0.002232481906959865,0.2779085405349329,1.2170152323977568,14.21250357991644,43.16620066930161,94.87361964798514
az,avg_liu,462.52679443359375,7.065763473510742,107.3124008178711,18.429685592651367,18.451244354248047,11.300605025061227,8524.2236328125,7.5582509985802515,8.021008887407461,9.190574874725014,18.992277961934995,35.81360790653551,88.24960112611176
az,avg_ltgnn,328040992,0,223.92857360839844,12.887145042419434,25.02336883544922,0.22282509373834194,4227511808,0.001941929857975338,0.007767719431901352,0.01941929857975338,15.700534787875661,42.929320126073335,90.37314201921252
az,avg_menlove,451798.5,0,131.45516967773438,9.078827857971191,17.69932746887207,1.4571915025230442,4101800.75,3.819243076307316e-4,0.0015276972305229264,0.0038192430763073163,9.283873794875008,27.906616618581314,64.90299134186759
az,avg_xu,2891.552001953125,0,164.15293884277344,24.110225677490234,28.947086334228516,12.430639860097353,69715.96875,7.392924026126106e-4,0.23953310881988504,3.467678564254322,34.178668623631815,65.98171215023201,101.17549694887433
forest,avg_chopping,762811.625,0,745.611083984375,31.364582061767578,36.31157302856445,17.36384241730332,23925268,0.0037698449952736856,0.015079379981094742,0.03769844995273685,55.00959633415316,85.09721041225758,116.67519604984068
forest,avg_esa,5903723,0,316.6000061035156,13.284058570861816,26.101295471191406,1.6252642025784019,78425400,0.012500952461268323,0.05000380984507329,0.12500952461268325,14.31172844500945,42.23162132675006,93.2678534254592
forest,avg_gedi,47514.70703125,0,489.00128173828125,39.462242126464844,36.66611099243164,28.669403299379375,1875036.875,2.3020568225698286,5.048558721331079,11.643954558193226,56.04420901817071,88.37990347906413,136.39021080540866
forest,avg_liu,74.6347427368164,7.360283851623535,107.3124008178711,38.384986877441406,28.76923179626465,26.52637002535093,2864.853759765625,8.529939732627083,11.3042953185168,17.890292611874095,49.217277490504856,96.20357766088925,100.58396996684559
forest,avg_ltgnn,52990944,0,223.89285278320313,40.99065399169922,36.47100067138672,31.909272247404424,2172133376,0.01435477726834075,1.0873953101610478,12.66151548764171,59.21219708775289,93.48774599123952,133.53470357613702
forest,avg_menlove,72866.5703125,0,119.29337310791016,26.78742790222168,26.82475471496582,17.747789777031354,1951908,0.5017153004945796,1.4837274065327515,6.489146863563731,42.441919764469695,66.73870199926608,87.47184623089079
forest,avg_xu,466.4671630859375,0,164.15293884277344,61.07048797607422,31.23627471923828,58.182274191800126,28487.376953125,13.853734603167204,25.353875030092603,37.69738576317696,78.55486513328484,100.46824141074059,138.19551566009415
grazing,avg_chopping,2017532.5,0,745.611083984375,3.51649808883667,13.41664981842041,0.026907856506474943,7094649,0.0013453928253237472,0.005381571301294989,0.013453928253237471,0.04036178475971242,6.7886309101160105,41.50574224874508
grazing,avg_esa,15620647,0,322.3999938964844,1.4479131698608398,7.693089485168457,0.1164290353039042,22617340,0.00582145176519521,0.02328580706078084,0.0582145176519521,0.1746435529558563,1.3044757719100262,16.55122042493757
grazing,avg_gedi,125478.296875,0,489.00128173828125,8.241604804992676,15.39306354522705,2.6934508357630675,1034142.5625,0.08218530003878585,0.6220631245753067,1.3231870688040388,8.735976062395803,20.526368802401837,50.194373412442125
grazing,avg_liu,197.47500610351563,7.065763473510742,101.82066345214844,15.49659252166748,11.9722261428833,12.428918277968624,3060.189697265625,7.618020530108565,8.447376419430883,9.907100777309479,17.761863123080364,22.084589022054324,60.516739491691915
grazing,avg_ltgnn,140125568,0,222.32142639160156,7.319672107696533,16.675188064575195,0.035444644310393764,1025673216,0.001772232215519688,0.007088928862078752,0.017722322155196882,6.2176274591280984,25.214923424711635,52.96770569778651
grazing,avg_menlove,192807.015625,0,81.91268157958984,4.458966255187988,8.286699295043945,1.2211491860543375,859720,4.2709653860611464e-4,0.0017083861544244586,0.004270965386061146,5.611928728884984,12.82871577678569,22.036596279765764
grazing,avg_xu,1234.2188720703125,0,150.45933532714844,17.36332893371582,18.49664878845215,11.4708081645816,21430.1484375,0.007677288982388871,1.0357694895891971,4.817312777514325,23.25552617309893,41.68455547742523,68.00316778725396
pima,avg_chopping,380750.90625,0,176.42857360839844,1.4092782735824585,9.233687400817871,0.02415199307014428,536584,0.001207599653507214,0.004830398614028856,0.01207599653507214,0.036227989605216414,0.043473587526259704,15.189915680661372
pima,avg_esa,2877426.25,0,118.80000305175781,0.9732494354248047,4.888598918914795,0.11584039627298222,2800453.5,0.005792019813649111,0.023168079254596442,0.05792019813649111,0.1737605944094733,0.7528747001249949,12.16861343035007
pima,avg_gedi,23727.642578125,0,223.28140258789063,6.303098678588867,13.067487716674805,2.2035255498163777,149557.671875,0.17939445150933742,0.5683655104852803,1.1967961829165337,5.182360984289411,15.081039995095386,41.81525768792857
pima,avg_liu,36.376365661621094,7.594516754150391,67.42195129394531,14.031071662902832,12.044637680053711,10.615693234451086,510.3993835449219,8.805578238002862,9.57307229223086,9.999666166835137,11.733978162702646,15.759053097025825,59.50519932182419
pima,avg_ltgnn,26440240,0,178,6.4476237297058105,14.04046630859375,0.3382628344361747,170476720,0.002067405614045719,0.008269622456182875,0.020674056140457187,6.503614916950691,20.832668072064017,43.65989213508129
pima,avg_menlove,35523.79296875,0,22.041746139526367,1.7678980827331543,3.679621934890747,0.13384848704625987,62802.4453125,9.394186345478448e-4,0.0037576745381913794,0.009394186345478448,1.5626938183256356,6.025422427091429,10.28668620547288
pima,avg_xu,227.35227966308594,0,87.46216583251953,14.10732364654541,13.380094528198242,10.625408141915862,3207.332275390625,0.5236343137742544,2.257400381443129,7.093279706819248,16.336527633903938,30.418271816969085,54.730798043404334
wilderness,avg_chopping,86260.3671875,0,745.611083984375,26.306655883789063,37.95682907104492,8.67226142841865,2269221.75,0.003186424267437326,0.012745697069749304,0.03186424267437325,40.70871447671833,78.33717490554368,129.02585170225112
wilderness,avg_esa,666162.9375,0,316.6000061035156,16.68779754638672,28.65663719177246,4.820270456167042,11116792,0.016766868155632664,0.067067472622530655,0.16766868155632664,19.957627305976047,49.97088217371256,106.03504358157423
wilderness,avg_gedi,5380.46240234375,0.8829482793807983,489.00128173828125,54.622344970703125,40.04186248779297,45.86852357577754,293893.46875,6.36657942657072,14.46723880474625,26.26424492118936,71.55555298806559,105.97851812490282,154.41940189324086
wilderness,avg_liu,8.4216156005859375,7.745199203491211,106.64605712890625,36.57110595703125,24.20030975341797,27.268263774560776,307.98779296875,10.651197708947407,14.707281855540604,20.465820570130415,42.958078089144884,79.10030010951466,98.19187348811973
wilderness,avg_ltgnn,6001005,0,223.82142639160156,39.88930130004883,40.02023696899414,27.685634835901414,239375888,0.010926366489718765,0.25921536165627884,8.734537808159725,57.640828871459874,98.2741328706366,142.75717118085439
wilderness,avg_menlove,8224.2333984375,0,119.29337310791016,16.808496475219727,20.676292419433594,8.679797546076736,138237,0.5085237532222108,0.8767708246942691,5.6833204094913015,22.005790683228096,40.9347137658759,81.78804454696525
wilderness,avg_xu,52.63509750366211,0,160.39999389648438,58.363834381103516,22.96816062927246,58.63220664886054,3071.986083984375,18.64811159065718,31.159793294349612,41.61040139999504,71.82674844772872,86.69302528181643,94.13724345028194
